Rank,Overall Acc,Model,Model Link,Organization,License,AST Summary,Exec Summary,Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Simple Exec,Multiple Exec,Parallel Exec,Parallel Multiple Exec,Irrelevance Detection,Relevance Detection,Cost ($ Per 1k Function Calls),Latency Mean (s),Latency Standard Deviation (s),Latency 95th Percentile (s)
49,61.89%,Claude-3-Opus-20240229 (FC tools-2024-04-04),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,54.16%,63.16%,69.41%,79.95%,39.38%,27.92%,84.64%,86.00%,52.00%,30.00%,76.40%,73.17%,37.72,12.05,4.07,19.3
50,60.82%,Open-Mixtral-8x7b (Prompt),https://mistral.ai/news/mixtral-of-experts/,Mistral AI,Proprietary,54.04%,63.59%,61.49%,70.70%,47.12%,36.83%,71.86%,74.00%,56.00%,52.50%,71.84%,65.85%,0.58,1.96,1.76,5.48
51,60.34%,Claude-3-Haiku-20240307 (Prompt),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,64.05%,60.73%,74.64%,84.49%,51.88%,45.17%,89.43%,94.00%,32.00%,27.50%,18.90%,85.37%,0.26,0.78,0.27,1.19
52,58.89%,Open-Mixtral-8x22b (FC Any),https://mistral.ai/news/mixtral-8x22b/,Mistral AI,Proprietary,58.12%,64.02%,73.23%,85.42%,10.75%,63.08%,92.57%,92.00%,24.00%,47.50%,0.34%,100.00%,1.55,1.88,1.61,5.42
53,58.37%,Open-Mixtral-8x22b (FC Auto),https://mistral.ai/news/mixtral-8x22b/,Mistral AI,Proprietary,53.83%,59.70%,59.75%,82.75%,10.50%,62.33%,77.79%,92.00%,24.00%,45.00%,44.20%,85.37%,1.74,2.16,1.76,5.65
54,57.81%,Gemini-1.0-Pro-001 (FC),https://deepmind.google/technologies/gemini/#introduction,Google,Proprietary,51.17%,58.29%,64.90%,79.40%,38.12%,22.25%,86.14%,84.00%,58.00%,5.00%,67.13%,73.17%,0.22,1.05,1.01,1.86
55,55.36%,Mistral-small-2402 (FC Auto),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,45.96%,52.89%,51.90%,82.00%,15.62%,34.33%,87.57%,90.00%,14.00%,20.00%,77.67%,80.49%,0.81,2.07,1.43,5.41
56,52.45%,Mistral-small-2402 (FC Any),https://docs.mistral.ai/guides/model-selection/,Mistral AI,Proprietary,50.74%,55.30%,65.89%,84.78%,15.88%,36.42%,94.71%,90.00%,14.00%,22.50%,0.34%,100.00%,0.77,1.91,1.42,5.44
57,48.11%,FireFunction-v1 (FC),https://huggingface.co/fireworks-ai/firefunction-v1,Fireworks,Apache 2.0,38.16%,41.20%,72.25%,80.37%,0.00%,0.00%,84.79%,80.00%,0.00%,0.00%,68.55%,95.12%,N/A,1.63,1.12,2.86
58,47.97%,Claude-3-Sonnet-20240229 (FC tools-2024-04-04),https://www.anthropic.com/news/claude-3-family,Anthropic,Proprietary,38.44%,42.12%,63.79%,78.37%,8.25%,3.33%,78.50%,90.00%,0.00%,0.00%,59.89%,97.56%,4.22,2.69,1.25,5.24
